date,timestamp,closeTime,open,high,low,close,vol,amount,amt,pct,indicator,indicator_0,index,value,signal,value_mean,value_std,position,nav,x
20221024,1666541099,000459,19335.0,19335.0,19200.2,19335.0,18.882999420166016,363667.7218,18.87457295148332,1.0,1,0.0,0,,,,,,,0
20221024,1666541399,000959,19334.0,19339.0,19201.0,19339.0,53.95000076293945,1041028.3481,54.02326663725999,1.000206878717352,0,3.8294373929849835e-06,1,,,,,0.0,1.0,1
20221024,1666541699,001459,19205.0,19339.0,19200.2,19339.0,17.55900001525879,338868.7575,17.585666412380125,1.000206878717352,0,0.0,2,,,,,0.0,1.0,2
20221024,1666541999,001959,19301.3,19339.0,19200.2,19200.2,45.51100158691406,878151.771,45.57187336530079,0.9930281872252392,0,0.00015749202634854402,3,,,,,0.0,1.0,3
20221024,1666542299,002459,19249.1,19339.0,19200.2,19339.0,29.78700065612793,573606.2665,29.767419484576745,1.000206878717352,0,0.00024285247054677605,4,,,,,0.0,1.0,4
20221024,1666542599,002959,19339.0,19339.0,19200.2,19201.0,9.772000312805176,188431.6893,9.778702687134139,0.9930695629687096,0,0.0007297327389561616,5,,,,,0.0,1.0,5
20221024,1666542899,003459,19339.0,19339.0,19201.0,19339.0,32.00299835205078,618561.834,32.09973191489362,1.000206878717352,0,0.00022389986588029266,6,,,,,0.0,1.0,6
20221024,1666543199,003959,19282.8,19339.0,19200.2,19339.0,54.67599868774414,1053532.8804,54.67331342632956,1.000206878717352,0,0.0,7,,,,,0.0,1.0,7
20221024,1666543499,004459,19202.9,19339.0,19200.2,19259.1,54.88399887084961,1058741.6198,54.94362206792046,0.9960744763382466,0,7.519612821883968e-05,8,,,,,0.0,1.0,8
20221024,1666543799,004959,19338.9,19339.0,19203.1,19203.1,87.71600341796875,1691107.6887,87.75379072235296,0.9931781742953193,0,3.3134937286864866e-05,9,,,,,0.0,1.0,9
20221024,1666544099,005459,19338.9,19338.9,19203.1,19220.0,35.861000061035156,691297.497,35.872424731461784,0.9940522368761314,0,2.4533224221480765e-05,10,,,,,0.0,1.0,10
20221024,1666544399,005959,19300.0,19300.0,19220.0,19300.0,13.692000389099121,263489.7844,13.680674164070613,0.9981898112231704,0,0.00030424896137343953,11,,,,,0.0,1.0,11
20221024,1666544699,010459,19300.0,19300.0,19203.2,19300.0,25.04599952697754,482359.6757,25.0555629506119,0.9981898112231704,0,0.0,12,,,,,0.0,1.0,12
20221024,1666544999,010959,19300.0,19338.9,19204.0,19204.0,23.573999404907227,454839.3538,23.601719320549307,0.9932247220067235,0,0.00021075130996570652,13,,,,,0.0,1.0,13
20221024,1666545299,011459,19253.0,19338.9,19203.2,19338.9,74.22000122070312,1428543.6203,74.12899765710742,1.0002017067494182,0,9.476154318672188e-05,14,,,,,0.0,1.0,14
20221024,1666545599,011959,19338.9,19338.9,19203.2,19203.2,36.59600067138672,705481.5469,36.608360566756865,0.9931833462632532,0,0.00019167602734293846,15,,,,,0.0,1.0,15
20221024,1666545899,012459,19252.1,19338.9,19203.1,19338.9,67.99299621582031,1310850.0659,68.02190160863474,1.0002017067494182,0,0.00010388610743190234,16,,,,,0.0,1.0,16
20221024,1666546199,012959,19224.2,19339.0,19203.1,19220.5,156.0489959716797,3013804.9522,156.3902824288246,0.9940780967158004,0,3.9148053281521724e-05,17,,,,,0.0,1.0,17
20221024,1666546499,013459,19330.0,19330.0,19220.5,19235.0,69.80899810791016,1346883.165,69.87630069648903,0.9948280320662012,0,1.0796262017352467e-05,18,,,,,0.0,1.0,18
20221024,1666546799,013959,19330.0,19330.0,19200.3,19330.0,122.572998046875,2359961.0422,122.49897053487774,0.99974140160331,0,4.031799955116522e-05,19,,,,,0.0,1.0,19
20221024,1666547099,014459,19201.5,19330.0,19200.3,19330.0,58.86199951171875,1134328.357,58.87980924103887,0.99974140160331,0,0.0,20,,,,,0.0,1.0,20
20221024,1666547399,014959,19269.3,19330.0,19200.2,19298.0,111.00900268554688,2135850.1685,110.86629026062674,0.9980863718644944,0,1.4932021570005424e-05,21,,,,,0.0,1.0,21
20221024,1666547699,015459,19230.7,19330.0,19200.2,19329.0,215.1320037841797,4142461.1364,215.02411803727986,0.9996896819239721,0,7.470715824414651e-06,22,,,,,0.0,1.0,22
20221024,1666547999,015959,19329.0,19329.0,19200.2,19328.0,40.11000061035156,772508.4533,40.099895834847345,0.9996379622446341,0,1.2901712783614327e-06,23,,,,,0.0,1.0,23
20221024,1666548299,020459,19320.0,19330.0,19212.0,19329.0,220.1909942626953,4251496.2061,220.61627347309428,0.9996896819239721,0,2.3451765267141495e-07,24,,,,,0.0,1.0,24
20221024,1666548599,020959,19329.0,19329.0,19203.0,19329.0,126.37899780273438,2434239.1333,126.3489636302294,0.9996896819239721,0,0.0,25,,,,,0.0,1.0,25
20221024,1666548899,021459,19204.0,19330.0,19204.0,19329.0,105.88999938964844,2041985.6785,105.9835822131105,0.9996896819239721,0,0.0,26,,,,,0.0,1.0,26
20221024,1666549199,021959,19204.0,19335.0,19200.1,19200.1,200.75999450683594,3865786.156,200.63714151513815,0.9930230152573053,0,3.323779458609576e-05,27,,,,,0.0,1.0,27
20221024,1666549499,022459,19210.0,19339.4,19200.1,19339.4,105.11900329589844,2024928.2693,105.08326622296605,1.0002275665890872,0,6.904211114444096e-05,28,,,,,0.0,1.0,28
