tradeDate,openTime,closeTime,closeSec,open,close,high,low,vol,amt,pct,amount,indicator,index,value,value_mean,signal,value_std
20221027,000000,000459,1666800299,20835.6,20880.6,20918.5,20835.6,4410.628,4412.4359931551635,0.0,92118646.8509,0.0,0,,,0,
20221027,000500,000959,1666800599,20880.5,20941.1,20948.0,20873.5,5042.805,5044.957639338618,0.002897426319167007,105493847.9568,5.743212384131837e-07,1,,,0,
20221027,001000,001459,1666800899,20941.1,20906.0,20985.4,20900.0,5607.924,5610.265516222837,-0.0016761297162039002,117494107.6266,2.987612103842761e-07,2,,,0,
20221027,001500,001959,1666801199,20905.9,20868.8,20911.7,20834.4,5965.743,5961.850092367909,-0.0017793934755573337,124441995.0705,2.9846330383838946e-07,3,,,0,
20221027,002000,002459,1666801499,20868.7,20827.7,20874.7,20820.0,3236.565,3236.3661774518105,-0.001969447213064357,67469658.4295,6.085365824132495e-07,4,,,0,
20221027,002500,002959,1666801799,20827.6,20818.3,20840.3,20798.1,2820.587,2820.146194503151,-0.00045132203747899613,58713187.6526,1.6003497916479798e-07,5,,,0,
20221027,003000,003459,1666802099,20818.2,20829.2,20865.6,20818.2,2510.134,2510.7013438170225,0.0005235778137504532,52327786.3377,2.0853846875887563e-07,6,,,0,
20221027,003500,003959,1666802399,20829.5,20802.8,20833.0,20780.0,3685.73,3685.3967341119364,-0.0012674514623701727,76680207.1483,3.439118102641908e-07,7,,,0,
20221027,004000,004459,1666802699,20802.8,20776.1,20825.5,20765.0,3593.61,3594.0611290559145,-0.001283481069855985,74739399.694,3.571116416133771e-07,8,,,0,
20221027,004500,004959,1666802999,20776.1,20749.0,20826.6,20737.2,5497.533,5494.872633137489,-0.0013043834020821654,114193893.5746,2.3738191750176786e-07,9,,,0,
20221027,005000,005459,1666803299,20749.0,20776.8,20776.9,20704.6,6119.404,6117.697191692682,0.001339823605956969,126885628.0286,2.190078331723147e-07,10,,,0,
20221027,005500,005959,1666803599,20776.8,20753.7,20797.5,20721.1,2832.616,2831.934394998868,-0.0011118170266835037,58788975.6861,3.9259985282390275e-07,11,,,0,
20221027,010000,010459,1666803899,20753.8,20743.2,20753.8,20680.5,5155.011,5153.876731389211,-0.0005059338816693071,106773637.3257,9.816569313502657e-08,12,,,0,
20221027,010500,010959,1666804199,20743.2,20752.9,20771.9,20730.1,2226.282,2226.4582559876635,0.0004676231246867335,46201235.27,2.1003004364853653e-07,13,,,0,
